"Rank","Name","GM","W-L","PTS","PPG","OPP PTS","OPP PPG","SCR MAR"
"176","VCU","33","18-15","2507","76.0","2470","74.8","1.1"
"177","Hawaii","30","17-13","2104","70.1","2071","69.0","1.1"
"178","Wyoming","33","20-13","2633","79.8","2597","78.7","1.1"
"","South Carolina","33","17-16","2313","70.1","2277","69.0","1.1"
"180","Iowa","33","14-19","2630","79.7","2597","78.7","1.0"
"","UCF","32","19-13","2007","62.7","1975","61.7","1.0"
"182","Stanford","35","19-16","2655","75.9","2622","74.9","0.9"
"183","Mt. St. Mary's","32","18-14","2331","72.8","2301","71.9","0.9"
"184","Providence","35","21-14","2575","73.6","2544","72.7","0.9"
"185","Wisconsin","33","15-18","2206","66.8","2177","66.0","0.9"
"186","Southern Ill.","33","20-13","2308","69.9","2280","69.1","0.8"
"187","Princeton","29","13-16","2106","72.6","2083","71.8","0.8"
"188","Yale","31","16-15","2312","74.6","2288","73.8","0.8"
"189","Tennessee Tech","33","19-14","2413","73.1","2388","72.4","0.8"
"190","Utah St.","34","17-17","2489","73.2","2466","72.5","0.7"
"191","LIU Brooklyn","35","18-17","2696","77.0","2674","76.4","0.6"
"192","New Hampshire","31","10-21","2103","67.8","2085","67.3","0.6"
"193","Green Bay","33","13-20","2517","76.3","2499","75.7","0.5"
"","Texas St.","33","15-18","2190","66.4","2172","65.8","0.5"
"195","N.C. A&T","35","20-15","2623","74.9","2605","74.4","0.5"
"196","St. John's (NY)","33","16-17","2412","73.1","2397","72.6","0.5"
"197","Saint Louis","33","17-16","2170","65.8","2157","65.4","0.4"
"198","Drake","34","17-17","2506","73.7","2495","73.4","0.3"
"199","South Alabama","32","14-18","2228","69.6","2218","69.3","0.3"
"200","Rutgers","34","15-19","2214","65.1","2204","64.8","0.3"
"201","Hartford","33","19-14","2326","70.5","2318","70.2","0.2"
"202","Army West Point","30","13-17","2230","74.3","2223","74.1","0.2"
"203","Western Ill.","28","12-16","2012","71.9","2009","71.8","0.1"
"204","San Francisco","39","22-17","2685","68.8","2681","68.7","0.1"
"205","Lehigh","30","16-14","2336","77.9","2333","77.8","0.1"
"","Denver","30","15-15","2192","73.1","2189","73.0","0.1"
"207","Minnesota","32","15-17","2405","75.2","2402","75.1","0.1"
"208","Milwaukee","33","16-17","2259","68.5","2260","68.5","0.0"
"209","Indiana St.","31","13-18","2248","72.5","2253","72.7","-0.2"
"210","Memphis","34","21-13","2408","70.8","2420","71.2","-0.4"
"211","Tennessee St.","30","15-15","1997","66.6","2010","67.0","-0.4"
"212","FIU","32","14-18","2262","70.7","2278","71.2","-0.5"
"213","Norfolk St.","33","14-19","2399","72.7","2417","73.2","-0.5"
"","Temple","33","17-16","2308","69.9","2326","70.5","-0.5"
"215","Fla. Atlantic","31","12-19","2155","69.5","2172","70.1","-0.5"
"216","Kent St.","34","17-17","2482","73.0","2502","73.6","-0.6"
"217","Ohio","31","14-17","2334","75.3","2353","75.9","-0.6"
"218","Niagara","33","19-14","2748","83.3","2769","83.9","-0.6"
"219","Idaho St.","30","14-16","2211","73.7","2232","74.4","-0.7"
"220","New Orleans","33","16-17","2297","69.6","2322","70.4","-0.8"
"221","Saint Peter's","32","14-18","2085","65.2","2111","66.0","-0.8"
"222","La Salle","32","13-19","2333","72.9","2360","73.8","-0.8"
"223","Columbia","27","8-19","2062","76.4","2085","77.2","-0.9"
"224","Tulane","31","14-17","2269","73.2","2296","74.1","-0.9"
"225","Manhattan","31","14-17","2147","69.3","2175","70.2","-0.9"
"226","Colorado","32","17-15","2307","72.1","2337","73.0","-0.9"
"227","Wake Forest","31","11-20","2273","73.3","2305","74.4","-1.0"
"228","Dayton","31","14-17","2244","72.4","2277","73.5","-1.1"
