"Rank","Name","GM","W-L","PTS","PPG","OPP PTS","OPP PPG","SCR MAR"
"38","Nevada","32","25-7","2225","69.5","1974","61.7","7.8"
"39","Texas Tech","33","22-11","2535","76.8","2287","69.3","7.5"
"40","Furman","29","16-13","2120","73.1","1903","65.6","7.5"
"41","Georgia Tech","32","20-12","2371","74.1","2133","66.7","7.4"
"42","Southeastern La.","33","24-9","2085","63.2","1842","55.8","7.4"
"43","Wisconsin","34","25-9","2290","67.4","2047","60.2","7.1"
"44","Boston U.","29","20-9","1822","62.8","1616","55.7","7.1"
"45","Chattanooga","31","20-11","2253","72.7","2034","65.6","7.1"
"46","NC State","35","21-14","2559","73.1","2314","66.1","7.0"
"47","Ohio St.","32","20-12","2273","71.0","2051","64.1","6.9"
"48","Southern Ill.","35","27-8","2365","67.6","2123","60.7","6.9"
"49","Air Force","30","18-12","1835","61.2","1629","54.3","6.9"
"50","Penn","29","20-9","1982","68.3","1788","61.7","6.7"
"51","Davidson","32","23-9","2316","72.4","2102","65.7","6.7"
"52","Mississippi St.","34","23-11","2466","72.5","2245","66.0","6.5"
"53","Sam Houston St.","30","18-12","2210","73.7","2018","67.3","6.4"
"54","Creighton","34","23-11","2421","71.2","2207","64.9","6.3"
"55","Vanderbilt","34","20-14","2420","71.2","2208","64.9","6.2"
"56","Akron","29","19-10","2082","71.8","1902","65.6","6.2"
"57","Niagara","30","20-10","2537","84.6","2351","78.4","6.2"
"58","Denver","31","20-11","2266","73.1","2076","67.0","6.1"
"59","Middle Tenn.","31","19-12","2212","71.4","2028","65.4","5.9"
"60","South Carolina St.","31","19-12","2086","67.3","1903","61.4","5.9"
"61","Lamar University","29","18-11","2338","80.6","2167","74.7","5.9"
"62","Memphis","38","22-16","2714","71.4","2490","65.5","5.9"
"63","Maryland","32","19-13","2620","81.9","2432","76.0","5.9"
"64","Western Ky.","31","22-9","2388","77.0","2207","71.2","5.8"
"65","Hofstra","30","21-9","2157","71.9","1982","66.1","5.8"
"66","Western Mich.","33","20-13","2407","72.9","2217","67.2","5.8"
"67","UNI","32","21-11","2311","72.2","2127","66.5","5.8"
"68","Eastern Ky.","31","22-9","2256","72.8","2078","67.0","5.7"
"69","Saint Mary's (CA)","34","25-9","2373","69.8","2178","64.1","5.7"
"70","Charlotte","29","21-8","2257","77.8","2093","72.2","5.7"
"71","Ga. Southern","31","18-13","2506","80.8","2331","75.2","5.6"
"72","UAB","33","22-11","2557","77.5","2371","71.8","5.6"
"","Iowa","33","21-12","2407","72.9","2221","67.3","5.6"
"74","Murray St.","28","17-11","1997","71.3","1841","65.8","5.6"
"75","Missouri St.","32","19-13","2339","73.1","2167","67.7","5.4"
"76","Tennessee Tech","29","18-11","2150","74.1","1996","68.8","5.3"
"77","Wichita St.","32","22-10","2300","71.9","2132","66.6","5.3"
"78","Saint Joseph's","36","24-12","2294","63.7","2110","58.6","5.1"
"79","Minnesota","32","21-11","2175","68.0","2012","62.9","5.1"
"80","Xavier","29","17-12","2033","70.1","1886","65.0","5.1"
"81","CSUN","31","18-13","2229","71.9","2085","67.3","4.6"
"82","UCF","33","24-9","2304","69.8","2152","65.2","4.6"
"83","Bucknell","33","23-10","2097","63.5","1946","59.0","4.6"
"84","Northwestern St.","33","21-12","2466","74.7","2317","70.2","4.5"
"85","Portland St.","28","19-9","2047","73.1","1921","68.6","4.5"
"86","Miami (OH)","30","19-11","1970","65.7","1838","61.3","4.4"
"87","DePaul","31","20-11","2120","68.4","1986","64.1","4.3"
"88","Col. of Charleston","28","18-10","2018","72.1","1897","67.8","4.3"
"89","Rice","31","19-12","2301","74.2","2170","70.0","4.2"
"90","Louisiana","31","20-11","2239","72.2","2109","68.0","4.2"
"91","West Virginia","35","24-11","2501","71.5","2356","67.3","4.1"
"92","Nebraska","28","14-14","1905","68.0","1790","63.9","4.1"
"93","Appalachian St.","30","18-12","2192","73.1","2070","69.0","4.1"
"94","South Carolina","33","20-13","2263","68.6","2132","64.6","4.0"
"95","Gardner-Webb","30","18-12","2172","72.4","2055","68.5","3.9"
"96","Arizona St.","32","18-14","2433","76.0","2310","72.2","3.8"
"97","LSU","30","20-10","2257","75.2","2142","71.4","3.8"
"98","Arkansas St.","29","16-13","2207","76.1","2097","72.3","3.8"
"99","George Mason","29","16-13","2127","73.3","2018","69.6","3.8"
"100","Drexel","29","17-12","2022","69.7","1914","66.0","3.7"
"101","Cal St. Fullerton","32","21-11","2408","75.3","2289","71.5","3.7"
"102","Fairleigh Dickinson","33","20-13","2432","73.7","2310","70.0","3.7"
"103","Butler","28","13-15","1811","64.7","1709","61.0","3.6"
"104","Buffalo","33","23-10","2462","74.6","2344","71.0","3.6"
"105","Ohio","32","21-11","2288","71.5","2174","67.9","3.6"
"106","VCU","32","19-13","2240","70.0","2127","66.5","3.5"
"107","Northeastern","31","21-10","2277","73.5","2169","70.0","3.5"
"108","Iowa St.","31","19-12","2112","68.1","2005","64.7","3.5"
"109","Kent St.","33","20-13","2322","70.4","2209","66.9","3.4"
"110","High Point","31","13-18","2310","74.5","2206","71.2","3.4"
"111","Georgetown","32","19-13","2061","64.4","1955","61.1","3.3"
"112","Notre Dame","29","17-12","1951","67.3","1858","64.1","3.2"
"113","San Diego","29","16-13","2222","76.6","2130","73.4","3.2"
"","Kansas St.","29","17-12","2003","69.1","1911","65.9","3.2"
"115","Dayton","29","18-11","1877","64.7","1786","61.6","3.1"
"116","Rider","30","19-11","2248","74.9","2157","71.9","3.0"
"117","Wofford","28","14-14","2040","72.9","1961","70.0","2.8"
"","Ball St.","28","15-13","1990","71.1","1911","68.3","2.8"
"119","Manhattan","29","15-14","2118","73.0","2037","70.2","2.8"
"120","SFA","27","12-15","1751","64.9","1676","62.1","2.8"
"121","Birmingham-So.","30","16-14","1974","65.8","1893","63.1","2.7"
"122","Albany (NY)","28","13-15","1886","67.4","1811","64.7","2.7"
"123","IUPUI","29","16-13","2068","71.3","1991","68.7","2.7"
"124","Mercer","28","16-12","2242","80.1","2173","77.6","2.5"
"125","Southeast Mo. St.","29","15-14","2042","70.4","1972","68.0","2.4"
"126","Clemson","32","16-16","2294","71.7","2218","69.3","2.4"
"127","Temple","30","16-14","1914","63.8","1843","61.4","2.4"
"128","Marquette","31","19-12","2080","67.1","2008","64.8","2.3"
"129","Samford","28","15-13","1804","64.4","1740","62.1","2.3"
"130","Toledo","29","16-13","2055","70.9","1990","68.6","2.2"
"131","TCU","35","21-14","2463","70.4","2385","68.1","2.2"
"132","Hawaii","29","16-13","1990","68.6","1926","66.4","2.2"
"133","Providence","31","14-17","2308","74.5","2242","72.3","2.1"
"134","UTSA","28","15-13","2126","75.9","2067","73.8","2.1"
"135","UCLA","29","18-11","2138","73.7","2078","71.7","2.1"
"136","SMU","28","14-14","1946","69.5","1891","67.5","2.0"
"","Princeton","28","15-13","1576","56.3","1521","54.3","2.0"
"138","Alabama A&M","32","18-14","2229","69.7","2169","67.8","1.9"
"139","Hampton","30","17-13","1973","65.8","1920","64.0","1.8"
"140","Miami (FL)","29","16-13","2071","71.4","2020","69.7","1.8"
"141","UNCW","29","19-10","1886","65.0","1840","63.4","1.6"
"142","UIC","29","15-14","2035","70.2","1994","68.8","1.4"
"143","Illinois St.","30","17-13","2003","66.8","1961","65.4","1.4"
"144","Saint Peter's","28","15-13","2200","78.6","2163","77.3","1.3"
"","UMKC","28","16-12","2060","73.6","2023","72.3","1.3"
"146","Stanford","31","18-13","2173","70.1","2134","68.8","1.3"
"147","Bowling Green","29","18-11","2023","69.8","1990","68.6","1.1"
"148","Fresno St.","30","16-14","2143","71.4","2109","70.3","1.1"
"149","American","28","16-12","1881","67.2","1850","66.1","1.1"
"150","South Fla.","30","14-16","2029","67.6","1996","66.5","1.1"
"151","Mississippi Val.","28","13-15","1875","67.0","1845","65.9","1.1"
"152","Fairfield","30","15-15","2041","68.0","2010","67.0","1.0"
"","Detroit Mercy","30","14-16","1840","61.3","1809","60.3","1.0"
"154","UC Irvine","29","16-13","1991","68.7","1962","67.7","1.0"
"155","Lehigh","29","14-15","1783","61.5","1756","60.6","0.9"
"156","Portland","30","15-15","2069","69.0","2042","68.1","0.9"
"157","Northern Ariz.","28","11-17","2139","76.4","2114","75.5","0.9"
"158","UNLV","31","17-14","2272","73.3","2245","72.4","0.9"
"159","Colorado St.","28","11-17","1966","70.2","1943","69.4","0.8"
"160","Santa Clara","31","15-16","2308","74.5","2283","73.6","0.8"
"161","Pepperdine","31","17-14","2324","75.0","2300","74.2","0.8"
"162","Little Rock","28","18-10","1891","67.5","1870","66.8","0.8"
"163","Houston","32","18-14","2226","69.6","2203","68.8","0.7"
"164","McNeese","28","13-15","2090","74.6","2070","73.9","0.7"
"165","Montana","31","18-13","2152","69.4","2132","68.8","0.6"
"166","Monmouth","29","16-13","1845","63.6","1832","63.2","0.4"
"167","Norfolk St.","27","13-14","1677","62.1","1665","61.7","0.4"
"168","Iona","31","15-16","2221","71.6","2211","71.3","0.3"
"169","North Texas","28","14-14","2072","74.0","2064","73.7","0.3"
