NCAA Men's Basketball Division IScoring Margin Through Games 03/10/2018

"Rank","Name","GM","W-L","PTS","PPG","OPP PTS","OPP PPG","SCR MAR"
"163","Saint Joseph's","32","16-16","2371","74.1","2311","72.2","1.9"
"164","Georgetown","30","15-15","2350","78.3","2294","76.5","1.9"
"165","Coastal Caro.","32","14-18","2298","71.8","2241","70.0","1.8"
"166","NJIT","30","14-16","2248","74.9","2197","73.2","1.7"
"167","Washington","32","20-12","2377","74.3","2323","72.6","1.7"
"","Austin Peay","32","18-14","2351","73.5","2297","71.8","1.7"
"169","Miami (OH)","33","16-17","2362","71.6","2307","69.9","1.7"
"170","Western Mich.","32","17-15","2402","75.1","2349","73.4","1.7"
"171","Indiana","31","16-15","2229","71.9","2178","70.3","1.6"
"172","Evansville","32","17-15","2094","65.4","2045","63.9","1.5"
"173","Ball St.","32","19-13","2410","75.3","2362","73.8","1.5"
"174","North Texas","32","15-17","2333","72.9","2287","71.5","1.4"
"175","Georgia","33","18-15","2247","68.1","2202","66.7","1.4"
"176","VCU","33","18-15","2507","76.0","2470","74.8","1.1"
"177","Hawaii","30","17-13","2104","70.1","2071","69.0","1.1"
"178","Wyoming","33","20-13","2633","79.8","2597","78.7","1.1"
"","Stanford","33","18-15","2504","75.9","2468","74.8","1.1"
"","South Carolina","33","17-16","2313","70.1","2277","69.0","1.1"
"181","Providence","34","21-13","2506","73.7","2471","72.7","1.0"
"182","Iowa","33","14-19","2630","79.7","2597","78.7","1.0"
"","UCF","32","19-13","2007","62.7","1975","61.7","1.0"
"184","LIU Brooklyn","34","18-16","2635","77.5","2603","76.6","0.9"
"185","Mt. St. Mary's","32","18-14","2331","72.8","2301","71.9","0.9"
"186","N.C. A&T","34","20-14","2571","75.6","2540","74.7","0.9"
"187","Wisconsin","33","15-18","2206","66.8","2177","66.0","0.9"
"188","Southern Ill.","33","20-13","2308","69.9","2280","69.1","0.8"
"189","Princeton","29","13-16","2106","72.6","2083","71.8","0.8"
"190","Yale","31","16-15","2312","74.6","2288","73.8","0.8"
"191","Tennessee Tech","33","19-14","2413","73.1","2388","72.4","0.8"
"192","Hartford","32","19-13","2254","70.4","2230","69.7","0.8"
"193","Utah St.","34","17-17","2489","73.2","2466","72.5","0.7"
"194","New Hampshire","31","10-21","2103","67.8","2085","67.3","0.6"
"195","Green Bay","33","13-20","2517","76.3","2499","75.7","0.5"
"","Texas St.","33","15-18","2190","66.4","2172","65.8","0.5"
"197","St. John's (NY)","33","16-17","2412","73.1","2397","72.6","0.5"
"198","Drake","32","16-16","2354","73.6","2341","73.2","0.4"
"199","Saint Louis","33","17-16","2170","65.8","2157","65.4","0.4"
"200","South Alabama","32","14-18","2228","69.6","2218","69.3","0.3"
"201","Rutgers","34","15-19","2214","65.1","2204","64.8","0.3"
"202","Army West Point","30","13-17","2230","74.3","2223","74.1","0.2"
"203","San Francisco","33","18-15","2266","68.7","2259","68.5","0.2"
"204","Western Ill.","28","12-16","2012","71.9","2009","71.8","0.1"
"205","Lehigh","30","16-14","2336","77.9","2333","77.8","0.1"
"","Denver","30","15-15","2192","73.1","2189","73.0","0.1"
"207","Minnesota","32","15-17","2405","75.2","2402","75.1","0.1"
"208","Milwaukee","33","16-17","2259","68.5","2260","68.5","0.0"
"209","Niagara","32","19-13","2683","83.8","2686","83.9","-0.1"
"210","Indiana St.","31","13-18","2248","72.5","2253","72.7","-0.2"
"211","Memphis","34","21-13","2408","70.8","2420","71.2","-0.4"
"212","Temple","32","17-15","2251","70.3","2263","70.7","-0.4"
"213","Tennessee St.","30","15-15","1997","66.6","2010","67.0","-0.4"
"214","FIU","32","14-18","2262","70.7","2278","71.2","-0.5"
"215","Norfolk St.","33","14-19","2399","72.7","2417","73.2","-0.5"
"216","Fla. Atlantic","31","12-19","2155","69.5","2172","70.1","-0.5"
"217","Kent St.","34","17-17","2482","73.0","2502","73.6","-0.6"
"218","Ohio","31","14-17","2334","75.3","2353","75.9","-0.6"
"219","Idaho St.","30","14-16","2211","73.7","2232","74.4","-0.7"
"220","Saint Peter's","32","14-18","2085","65.2","2111","66.0","-0.8"
"221","New Orleans","31","15-16","2151","69.4","2177","70.2","-0.8"
"222","La Salle","32","13-19","2333","72.9","2360","73.8","-0.8"
"223","Columbia","27","8-19","2062","76.4","2085","77.2","-0.9"
"224","Tulane","31","14-17","2269","73.2","2296","74.1","-0.9"
"225","Manhattan","31","14-17","2147","69.3","2175","70.2","-0.9"
"226","Colorado","32","17-15","2307","72.1","2337","73.0","-0.9"
"227","Wake Forest","31","11-20","2273","73.3","2305","74.4","-1.0"
"228","Dayton","31","14-17","2244","72.4","2277","73.5","-1.1"
"229","Binghamton","31","11-20","2147","69.3","2181","70.4","-1.1"
"230","Pacific","32","14-18","2280","71.3","2316","72.4","-1.1"
"231","Monmouth","31","11-20","2336","75.4","2372","76.5","-1.2"
"232","Fairleigh Dickinson","31","13-18","2313","74.6","2350","75.8","-1.2"
"233","Boston U.","31","15-16","2186","70.5","2226","71.8","-1.3"
"234","Fairfield","33","17-16","2506","75.9","2549","77.2","-1.3"
"235","Stony Brook","32","13-19","2205","68.9","2249","70.3","-1.4"
"236","Southern Miss.","34","16-18","2401","70.6","2449","72.0","-1.4"
"237","Prairie View","34","16-18","2559","75.3","2609","76.7","-1.5"
"238","Gardner-Webb","32","14-18","2258","70.6","2307","72.1","-1.5"
"239","Vanderbilt","32","12-20","2316","72.4","2368","74.0","-1.6"
"240","Illinois St.","33","18-15","2364","71.6","2418","73.3","-1.6"
"241","Eastern Ill.","31","12-19","2065","66.6","2120","68.4","-1.8"
"242","Southeast Mo. St.","31","14-17","2355","76.0","2413","77.8","-1.9"
"243","Robert Morris","33","16-17","2272","68.8","2334","70.7","-1.9"
"244","DePaul","31","11-20","2230","71.9","2289","73.8","-1.9"
"245","Bowling Green","32","16-16","2429","75.9","2490","77.8","-1.9"
"246","Brown","27","11-16","2080","77.0","2133","79.0","-2.0"
"247","Morgan St.","32","13-19","2273","71.0","2338","73.1","-2.0"
"248","Texas Southern","34","15-19","2640","77.6","2711","79.7","-2.1"
"249","Grambling","31","17-14","2255","72.7","2321","74.9","-2.1"
"250","Georgia Tech","32","13-19","2101","65.7","2170","67.8","-2.2"
"251","McNeese","28","11-17","2099","75.0","2161","77.2","-2.2"
"252","James Madison","32","10-22","2341","73.2","2414","75.4","-2.3"
"253","Ole Miss","32","12-20","2426","75.8","2500","78.1","-2.3"
